low,high,recent_strength,all_strength,avg_strength,persistent,zone_type
990,995,0.6,0.1,0.4,False,短期区
1045,1050,强：1.0,0.2,强：0.6,False,短期区
1050,1056,强：0.7,0.1,0.4,False,短期区
1056,1061,强：0.9,0.3,强：0.6,True,持久区
1083,1089,0.0,强：1.0,强：0.5,False,短期区
1089,1094,0.0,0.5,0.3,False,短期区
1094,1100,0.0,强：0.8,0.4,False,短期区
1105,1111,0.0,强：0.7,0.4,False,短期区
1122,1127,0.0,0.7,0.3,False,短期区
1183,1188,0.0,0.3,0.1,False,短期区
1221,1227,0.0,0.4,0.2,False,短期区
1227,1232,0.0,0.4,0.2,False,短期区
1271,1276,0.0,0.3,0.2,False,短期区
